,id,symbol,partner_symbol,data_available_from,data_available_date
USE,928014,USE,USE,1535500800,2018-08-29
UTK,236358,UTK,UTK,1514246400,2017-12-26
UTNP,466492,UTNP,UTNP,1516579200,2018-01-22
UTT,587261,UTT,UTT,1511222400,2017-11-21
UUU,866334,UUU,UUU,1518048000,2018-02-08
VEE,306482,VEE,VEE,1511395200,2017-11-23
VERI,136211,VERI,VERI,1493078400,2017-04-25
VEST,925893,VEST,VEST,1531094400,2018-07-09
VET,236131,VET,VET,1502755200,2017-08-15
VIBE,336538,VIBE,VIB,1500422400,2017-07-19
VIDT,914830,VIDT,VIDT,1534550400,2018-08-18
VIN,782929,VIN,VIN,1511395200,2017-11-23
VIT,842430,VIT,VIT,1518998400,2018-02-19
VITE,921524,VITE,VITE,1524614400,2018-04-25
VIU,393656,VIU,VIU,1535068800,2018-08-24
VME,921401,VME,VME,1515542400,2018-01-10
VNX,926362,VNX,VNX,1539820800,2018-10-18
VOISE,188352,VOISE,VOISE,1505433600,2017-09-15
VRA,886955,VRA,VRA,1526601600,2018-05-18
VRS,33399,VRS,VRS,1523318400,2018-04-10
VSL,32880,VSL,VSL,1481673600,2016-12-14
VZT,350476,VZT,VZT,1515628800,2018-01-11
WAB,915420,WAB,WAB,1529193600,2018-06-17
WABI,340940,WABI,WABI,1512777600,2017-12-09
WAN,240142,WAN,WAN,1507248000,2017-10-06
WAND,320621,WAND,WAND,1509062400,2017-10-27
WAX,338541,WAX,WAX,1513641600,2017-12-19
WBTC,928761,WBTC,WBTC,1543276800,2018-11-27
WCOIN,876102,WCOIN,WIN,1517875200,2018-02-06
WEB,320596,WEB,WEB,1521158400,2018-03-16
WELL,653806,WELL,WELL,1529712000,2018-06-23
WETH,928486,WETH,WETH,1513555200,2017-12-18
WHEN,924369,WHEN,WHEN,1521331200,2018-03-18
WINGS,25946,WINGS,WINGS,1493078400,2017-04-25
WISH,411620,WISH,WISH,1508457600,2017-10-20
WIZ,310052,WIZ,WIZ,1519776000,2018-02-28
WPP,924955,WPP,WPP,1531267200,2018-07-11
WPR,355242,WPR,WPR,1517356800,2018-01-31
WRC,296844,WRC,WRC,1503878400,2017-08-28
WT,746288,WT,WT,1526947200,2018-05-22
WTC,299397,WTC,WTC,1500595200,2017-07-21
WTL,926317,WTL,WTL,1525046400,2018-04-30
WYS,899504,WYS,WYS,1510876800,2017-11-17
X8X,450337,X8X,X8X,1509840000,2017-11-05
XAUR,25082,XAUR,XAUR,1470614400,2016-08-08
XBASE,927584,XBASE,XBASE,1555632000,2019-04-19
XBB,898360,XBB,BBK,1517184000,2018-01-29
XBL,375352,XBL,XBL,1501545600,2017-08-01
XBX,928785,XBX,XBX,1546128000,2018-12-30
XCD,726598,XCD,XCD,1525305600,2018-05-03
XCLR,848134,XCLR,XCLR,1510790400,2017-11-16
XDCE,477743,XDCE,XDCE,1517184000,2018-01-29
XES,887706,XES,XES,1516924800,2018-01-26
XET,913066,XET,XET,1527638400,2018-05-30
XMX,921375,XMX,XMX,1525910400,2018-05-10
XNG,35953,XNG,ENG,1507766400,2017-10-12
XNK,794362,XNK,XNK,1519344000,2018-02-23
XOV,929356,XOV,XOV,1524873600,2018-04-28
XPAT,920249,XPAT,XPAT,1523923200,2018-04-17
XUC,184221,XUC,XUC,1502409600,2017-08-11
XYO,795305,XYO,XYO,1515196800,2018-01-06
XZC,30022,XZC,XZC,1518912000,2018-02-18
YEE,719272,YEE,YEE,1515628800,2018-01-11
YOYOW,322002,YOYOW,YOYOW,1503705600,2017-08-26
YUP,921549,YUP,YUP,1520380800,2018-03-07
ZAP,684747,ZAP,ZAP,1507334400,2017-10-07
ZCN,917256,ZCN,ZCN,1527724800,2018-05-31
ZCO,876390,ZCO,ZCO,1517788800,2018-02-05
ZEC,24854,ZEC,ZEC,1477612800,2016-10-28
ZEON,929494,ZEON,ZEON,1539561600,2018-10-15
ZIL,716725,ZIL,ZIL,1515715200,2018-01-12
ZINC,916851,ZINC,ZINC,1519084800,2018-02-20
ZIP,925165,ZIP,ZIP,1517097600,2018-01-28
ZIPT,899541,ZIPT,ZIPT,1522281600,2018-03-29
ZLA,866472,ZLA,ZLA,1512000000,2017-11-30
ZMN,912878,ZMN,ZMN,1516320000,2018-01-19
ZPR,925282,ZPR,ZPR,1526515200,2018-05-17
ZRX,186277,ZRX,ZRX,1502409600,2017-08-11
ZSC,341328,ZSC,ZSC,1499558400,2017-07-09
ZT,932086,ZT,ZT,1531872000,2018-07-18
ZXC,920958,ZXC,ZXC,1529971200,2018-06-26
